Organization,Date of Breach,Reported Date
"A&A Global Imports, Inc.",,1/14/2019
"Aimbridge Hospitality Holdings, LLC ",6/7/2018 - 9/24/2018,12/31/2018
Housing Authority Of The City Of Salem,11/20/2018 - 11/20/2018,12/31/2018
Warby Parker,9/25/2018 - 9/25/2018,12/27/2018
"BEL USA, LLC through its website DiscountMugs.com",8/5/2018 - 8/5/2018,12/26/2018
Hammer Nutrition,1/1/2018 - 1/1/2018,12/21/2018
Springstone Financial,7/27/2018 - 7/27/2018,12/14/2018
Titan Manufacturing and Distributing Inc.,"5/22/2018, 10/25/2018",12/7/2018
"U.S. Bancorp Investments, Inc",11/1/2018 - 11/1/2018,12/5/2018
San Diego Hardware,2/5/2018 - 2/5/2018,12/5/2018
"Thesy, LLC",12/6/2017 - 12/6/2017,12/5/2018
AerServ,,12/2/2018
"Marriott International, Inc.",4/15/2014 - 4/15/2014,11/30/2018
Cancer Treatment Centers of America,5/2/2018 - 5/2/2018,11/30/2018
Atrium Health (formerly Carolinas HealthCare System),9/22/2018 - 9/22/2018,11/27/2018
Family Tree Relief Nursery,"11/26/2016 - 11/26/2016, 6/1/2018 - 6/1/2018",11/27/2018
British Airways Plc,"4/21/2018 - 4/21/2018, 8/21/2018 - 8/21/2018",11/21/2018
R.R. Bowker LLC ,5/1/2018 - 5/1/2018,11/20/2018
The Hanover INsurance Company and its subsidiary and affiliate insurance companies,3/16/2018 - 3/16/2018,11/19/2018
Francesca’s Services Corporation,12/28/2017 - 12/28/2017,11/19/2018
LPL Financial LLC,11/1/2018,11/17/2018
Newegg Inc. ,8/13/2018 - 8/13/2018,11/15/2018
"HealthEquity, Inc.",9/4/2018 - 9/4/2018,11/15/2018
Pharmacy Times Office of Continuing Professional Education (“PTCE”),7/6/2018 - 7/6/2018,11/13/2018
"Stein Mart, Inc.",12/28/2017 - 12/28/2017,11/13/2018
"Title Nine Sports, Inc.",12/28/2017 - 12/28/2017,11/12/2018
"Southwest Washington Regional Surgery Center, LLC",5/27/2018 - 5/27/2018,11/6/2018
"Nordstrom, Inc.",10/9/2018 - 10/9/2018,11/5/2018
Burgerville LLC,8/29/2017 - 8/29/2017,10/30/2018
Tillamook Chiropractic Clinic,5/24/2016 - 5/24/2016,10/30/2018
Bankers Life,5/30/2018 - 5/30/2018,10/25/2018
"GS1 US, Inc.",7/7/2017 - 7/7/2017,10/25/2018
Renaissance Philanthropic Solutions Group (“RenPSG”),6/5/2018 - 6/5/2018,10/18/2018
Shein,6/1/2018 - 6/1/2018,10/11/2018
Cigna,9/5/2018 - 9/5/2018,10/10/2018
"Northwest Surgical Specialists, P.C. d/b/a Rebound Orthopedics & Neurosurgery ",5/22/2018,10/5/2018
"FirstGroup of America, Inc.",8/1/2015,9/26/2018
"Smith Freed & Eberhard, P.C.",7/26/2018 - 7/26/2018,9/21/2018
Tech Rabbit LLC,2/22/2017 - 2/22/2017,9/19/2018
"Peaceful Valley Farm Supply, Inc.",2/9/2018 - 2/9/2018,9/12/2018
Movement Mortgage LLC,10/9/2017 - 10/9/2017,8/31/2018
LÍLLÉbaby,6/1/2016 - 6/1/2016,8/29/2018
"Richard Owen Nursery, Inc.",9/29/2017 - 9/29/2017,8/29/2018
Cheddar's Scratch Kitchen ,11/3/2017 - 11/3/2017,8/23/2018
"Health Management Concepts, Inc.",7/19/2018 - 7/19/2018,8/22/2018
Legacy Health,5/26/2018 - 5/26/2018,8/21/2018
RBC Wealth Management,,8/9/2018
Canyon Rd. Chiropractic and Massage ,6/30/2018 - 6/30/2018,8/7/2018
ChoiceOne / MedSpring Urgent Care,5/13/2018 - 5/13/2018,8/3/2018
Colorado Bankers Life Insurance Company,3/28/2018 - 3/28/2018,8/3/2018
Sunspire Health,3/1/2018 - 3/1/2018,7/27/2018
Yale University,4/1/2008 - 4/1/2008,7/27/2018
TradeMotion,1/1/0001,7/25/2018
"ComplyRight, Inc",4/20/2018 - 4/20/2018,7/25/2018
"City of Medford, Oregon","2/18/2018 - 2/18/2018, 3/29/2018 - 3/29/2018",7/20/2018
Tommie Copper Inc,"11/10/2017 - 11/10/2017, 1/21/2018 - 1/21/2018",7/11/2018
Campbell Soup Company,6/27/2018 - 6/27/2018,7/10/2018
The International Mission Board,2/14/2018 - 2/14/2018,7/6/2018
ATI Holdings LLC and its subsidiaries,1/9/2018 - 1/9/2018,7/5/2018
"Macy's, Inc",5/26/2018 - 6/11/2018,7/3/2018
State Accident Insurance Fund Corporation,5/7/2018 - 5/9/2018,6/8/2018
Aimbridge Employee Service Corp. ,1/8/2018 - 3/21/2018,6/7/2018
Holland Eye Surgery and Laser Center,6/1/2016,6/6/2018
City of Portland,4/6/2018 - 4/6/2018,6/1/2018
"Transamerica, including Transamerica Life Insurance Company and Transamerica Retirement Solutions",3/1/2017 - 1/31/2018,6/1/2018
Care Partners Hospice and Palliative,4/11/2018 - 4/11/2018,5/25/2018
The Oregon Clinic,,5/24/2018
Saxon Insurance Services,5/7/2018 - 5/7/2018,5/23/2018
Chili's Grill & Bar ,3/1/2018 - 4/1/2018,5/23/2018
"Integrated Practice Solutions, Inc.",4/11/2018 - 4/11/2018,5/21/2018
"Bombas, LLC","9/1/2013 - 1/15/2015, 1/27/2015 - 2/9/2015",5/18/2018
Cable Hill Partners LLC,1/10/2018 - 1/16/2018,5/17/2018
Sears Holdings Managment Corporation ,9/27/2017 - 10/12/2017,5/17/2018
Corporation Service Company,11/25/2017,5/17/2018
"TaskRabbit, Inc.",4/11/2018 - 4/18/2018,5/16/2018
"LaPorte & Associates, Inc.",4/2/2018,5/14/2018
Rail Europe North America Inc.,11/29/2017 - 2/16/2018,5/8/2018
"Suntrust Banks, Inc ",,5/8/2018
Global University ,12/31/2017 - 1/31/2018,5/8/2018
"Alaska Airlines, Inc.",10/1/2017 - 12/22/2017,5/4/2018
Hudson's Bay Company ,7/1/2017,5/3/2018
W.W. Grainger Inc.,9/26/2017 - 10/12/2017,4/20/2018
Southwest Airlines co.,10/1/2017 - 12/22/2017,4/20/2018
"Delta Air Lines, Inc. ",9/26/2017 - 10/12/2017,4/13/2018
"Inogen, Inc.",12/9/2017 - 3/14/2018,4/13/2018
Bronson Nutritionals LLC ,5/15/2017 - 1/30/2018,3/27/2018
Oregon Department of Revenue,2/21/2018,3/27/2018
Orbitz,10/1/2017 - 12/22/2017,3/21/2018
Pioneer Pacific College,2/9/2018,3/7/2018
Preferred Hotel & Resorts,6/1/2018 - 11/1/2017,3/2/2018
FastHealth Corporation,8/14/2017 - 8/18/2017,2/27/2018
North 40 Outfitters,1/20/2017 - 1/29/2018,2/23/2018
"TERRA Services, Inc.",,2/16/2018
Equifax Consumer Services LLC,8/1/2017 - 9/2/2017,2/8/2018
"PAR Electrical Contractors, Inc.",12/22/2017 - 12/22/2017,2/5/2018
Pension Fund of the Christian Church (“Pension Fund”),10/12/2017,1/16/2018
"LiveGlam, Inc. ",12/11/2017,1/11/2018
Multnomah Athletic Club ,12/2/2017 - 12/5/2017,1/11/2018
"Deli Management, Inc. (d/b/a Jason's Deli, Inc.)",6/8/2017,1/11/2018
"Rea.deeming Beauty, Inc. dba beautyblender",4/25/2015 - 10/26/2017,1/5/2018
WEI Mortgage LLC,9/13/2017 - 9/28/2017,1/3/2018
"TIO Networks USA, Inc. (TIO.com), Cricket Wireless LLC, and Pacific Gas and Electric Company",1/1/2014 - 11/10/2017,12/29/2017
"Forever 21, Inc. ",4/3/2017 - 11/18/2017,12/28/2017
SAIF Corporation,11/3/2017 - 11/3/2017,12/21/2017
National Capital Poison Center (“NCPC”),10/21/2017 - 10/21/2017,12/8/2017
JAM Paper & Envelope,6/15/2016 - 11/6/2017,12/1/2017
"The Medical College of Wisconsin, Inc.",7/21/2017 - 7/28/2017,11/30/2017
"Uber Technologies, Inc.",10/13/2016 - 11/15/2016,11/21/2017
ABM Industries Incorporated,7/7/2017,11/14/2017
Gallagher NAC,6/18/2017 - 9/19/2017,11/13/2017
"Tween Brands, Inc.",,11/3/2017
"Shop-Rite Supermarkets, Inc.",2/1/2016 - 2/1/2016,10/30/2017
"Whole Foods Market Services, Inc.",3/10/2017 - 9/28/2017,10/20/2017
"Pizza Hut, LLC",10/1/2017 - 10/2/2017,10/16/2017
Owner's Association of Rivertide Suites,8/10/2016 - 3/9/2017,10/13/2017
Catholic United Financial ,11/12/2016 - 9/6/2017,10/13/2017
"Transamerica, including Transamerica Life Insurance Company & Transamerica Retirement Solutions, LLC",1/3/2017 - 8/29/2017,10/13/2017
"Provo Craft & Novelty, Inc., d/b/a Cricut",5/27/2017 - 7/12/2017,10/12/2017
Hyatt Hotels Corporation,3/18/2017 - 7/2/2017,10/12/2017
Tommie Copper Inc.,4/25/2017 - 8/29/2017,10/6/2017
"FlexShopper, LLC",8/25/2017 - 8/30/2017,10/5/2017
Kenco Group,8/30/2017 - 8/30/2017,10/2/2017
"Servis One, Inc. dba BSI Financial Services",5/31/2017 - 6/1/2017,9/29/2017
The Online Traffic School,6/20/2014 - 7/26/2017,9/29/2017
Phoenix Inns,8/10/2016 - 3/9/2017,9/28/2017
"Brown/Armstrong, PC",,9/25/2017
"W.W. Grainger, Inc.",8/23/2017 - 8/23/2017,9/20/2017
TRUEbenefits LLC,,9/18/2017
"Bulletproof 360, Inc","10/26/2016 - 5/30/2017, 8/28/2017 - 9/5/2017",9/15/2017
"CBS Consolidated, Inc.",7/10/2017,9/13/2017
Native Canada Footwear Ltd,4/28/2015 - 6/23/2017,9/8/2017
Equifax Inc.,5/13/2017 - 7/30/2017,9/7/2017
Bright Wood Corporation,5/1/2017 - 7/13/2017,8/29/2017
Loews Hotels & Co,8/29/2016 - 3/9/2017,8/18/2017
"Dutch, LLC","6/9/2016 - 6/6/2017, 12/25/2016 - 1/26/2017",8/17/2017
Performant Financial Corporation,1/27/2017 - 2/2/2017,8/14/2017
Steel Technology LLC dba Hydro Flask,5/2/2017,7/28/2017
Avanti Markets Inc.,7/2/2017 - 7/4/2017,7/24/2017
"SBE ENT Holdings, LLC",8/10/2016 - 3/9/2017,7/22/2017
"The Buckle, Inc ",10/28/2016 - 4/14/2017,7/21/2017
"Value Eyecare Network, Inc. d/b/a 39DollarGlasses.com",5/31/2017,7/21/2017
"Keller Williams Realty, Inc.",5/6/2017 - 5/10/2017,7/18/2017
"Apartment Management Consultants, LLC",6/29/2017 - 7/3/2017,7/14/2017
"Two Roads Hospitality, LLC",8/10/2016 - 3/9/2017,7/14/2017
Burdette Smith & Bish LLC,3/23/2017 - 4/12/2017,7/14/2017
Spark Pay Online Store,4/10/2017 - 6/7/2017,7/12/2017
"Aetna, Inc. ",2/1/2017 - 4/28/2017,7/10/2017
"Preferred Hotel Group, Inc ",8/10/2016 - 3/9/2017,7/7/2017
"Gracenote, A Nielsen Company",5/18/2017,6/23/2017
"Caliber Home Loans, Inc.",1/18/2017 - 4/5/2017,6/23/2017
"Kayser-Roth, Inc.",2/1/2016 - 12/31/2016,6/20/2017
Home Point Financial Corporation,,6/20/2017
Airway Oxygen Inc.,4/18/2017,6/16/2017
SMH Enterprises,5/30/2017 - 5/30/2017,6/9/2017
Washington State University,4/21/2017 - 4/21/2017,6/9/2017
"Freedom Smokes, Inc.",3/7/2017 - 4/25/2017,6/7/2017
"GameStop, Inc",,6/5/2017
Signature Hardware Inc.,4/28/2017 - 5/30/2017,6/2/2017
BMO Harris Bank N.A.,5/15/2017 - 5/15/2017,5/31/2017
"Chipotle Mexixan Grill, Inc.",3/24/2017 - 4/18/2017,5/26/2017
"TALX Corporation, a wholly owned subsidiary of Equifax, Inc.",1/4/2016 - 3/29/2017,5/23/2017
"Incipio, LLC",2/26/2016 - 12/5/2016,5/23/2017
"Rite Aid Online Store, Inc.",1/30/2017 - 4/11/2017,5/18/2017
"Nicopure Labs, LLC",,5/16/2017
Indigo Wild,11/14/2016 - 4/17/2017,5/12/2017
Lane Community College Health Clinic,3/8/2016 - 2/2/2017,5/9/2017
"Marbles, LLC",2/1/2016 - 12/31/2016,5/8/2017
"RM Acquisition, LLC d/b/a Rand McNally",4/12/2016 - 3/2/2017,5/5/2017
George Fox University,1/16/2017 - 1/16/2017,4/21/2017
"Combat Brands, LLC",7/1/2015 - 2/23/2017,4/17/2017
"Six Continents Hotels, Inc. (d/b/a InterContinental Hotels Group)",9/29/2016 - 12/29/2016,4/14/2017
Tempur-Pedic,2/15/2016 - 9/30/2016,4/12/2017
"Solera Holdings, Inc. ",,4/7/2017
Multnomah County Data Breach,8/24/2012 - 12/23/2016,4/6/2017
"Easy Breathe, Inc.",2/10/2017 - 2/10/2017,3/27/2017
"Aptos, Inc",2/1/2016 - 12/31/2016,3/24/2017
"Bambeco, Inc",2/1/2016 - 12/31/2016,3/24/2017
Federal Process Corporation,2/23/2017 - 2/23/2017,3/23/2017
"Bulletproof 360, Inc.",10/26/2016 - 1/31/2017,3/21/2017
"St. Charles Health System, Inc",10/8/2014 - 1/16/2016,3/16/2017
BBB Industries LLC,3/9/2017 - 3/9/2017,3/13/2017
"Bluemercury, inc.",2/1/2016 - 12/31/2016,3/10/2017
"Century, LLC",2/1/2016 - 12/31/2016,3/10/2017
"Movie Mars, Inc",2/1/2016 - 12/31/2016,3/10/2017
"Nutrex Hawaii, Inc",2/1/2016 - 12/31/2016,3/10/2017
"Plow and Hearth, LLC",2/1/2016 - 12/31/2016,3/10/2017
"Vapour Organic Beauty, LLC",2/1/2016 - 12/31/2016,3/10/2017
Alpha Industries,2/1/2016 - 12/31/2016,3/9/2017
Atlantic Cigar ,2/1/2016 - 12/31/2016,3/9/2017
prAna,12/14/2016 - 2/6/2017,3/8/2017
West Music Company,2/1/2016 - 12/31/2016,3/3/2017
Redmond School District ,2/24/2017,2/28/2017
Intex Recreation Corp.,4/24/2016 - 12/14/2016,2/27/2017
Affy Tapple,,2/27/2017
Mrs Prindables ,2/1/2016 - 12/3/2016,2/27/2017
Abbott Nutrition,,2/24/2017
"Roberts Hawaii, Inc.",12/14/2016,2/24/2017
Pure Yoga LLC,9/6/2016 - 12/18/2016,2/7/2017
"DBM Global, Inc.",1/7/2017 - 1/7/2017,2/1/2017
"Charles Komar & Sons, Inc.",3/1/2015 - 12/1/2016,1/26/2017
"CoPilot Provider Support Services, Inc.",,1/19/2017
"Spiraledge, Inc.",,1/12/2017
"International Association of Sheet Metal, Air, Rail & Transport Workers, Sheet Metal Workers’ Local ",10/3/2016,12/30/2016
Providence Health & Services,10/25/2016 - 10/28/2016,12/29/2016
"Cascade Management, Inc.",,12/29/2016
Western Union Financial Services,7/1/2016,12/27/2016
Quest Diagnostics,11/26/2016,12/12/2016
Asante,6/23/2014 - 10/22/2016,12/9/2016
Michigan State University,11/13/2016,12/9/2016
Primerica,9/4/2016,11/23/2016
Island Hotel Company Limited,3/9/2016,11/23/2016
The Madison Square Garden Company,11/9/2015,11/22/2016
Springfield Armory,10/3/2015,11/18/2016
"Charles Schwab & Co., Inc.",3/25/2016,11/11/2016
WINDY RIDGE ACCOUNTING & TAX SERVICE,10/22/2016 - 10/23/2016,11/10/2016
UFCW Local 655 Food Employers Joint Pension Plan,7/14/2016,11/9/2016
"Eileen Fisher, Inc.",9/7/2016 - 10/24/2016,11/9/2016
"Ameriprise Financial, Inc.",,11/7/2016
"National Wholesale Company, Inc.",9/2/2016 - 10/15/2016,11/4/2016
Sentinel Hotel,7/12/2016,11/4/2016
Kaiser Foundation Health Plan of the Northwest,10/12/2016 - 10/13/2016,11/4/2016
Liberty Buy Sell,,10/17/2016
"Vera Bradley, Inc",7/25/2016,10/12/2016
Winston Dillard School District #116,"5/15/2016, 9/12/2016 - 9/13/2016",10/3/2016
"Jerry's Artarama NC, Inc",5/3/2016 - 7/10/2016,9/29/2016
Rebecca Minkoff,,9/29/2016
New Jersey Spine Center,7/27/2016,9/22/2016
ACTIVEOutdoors,,9/19/2016
"KontrolFreek, LLC",10/21/2015 - 4/7/2016,9/16/2016
Asante,"8/18/2014, 7/21/2016",9/9/2016
Noble House Hotels & Resorts,"4/25/2016, 8/5/2016",9/2/2016
"Kimpton Hotels & Restaurant Group, LLC",2/16/2016,8/31/2016
"Schwan's Home Service, Inc",10/9/2015,8/31/2016
"Howard R. Jarvis, D.M.D., L.L.C. dba Southwest Portland Dental","1/30/2012, 7/30/2016",8/30/2016
Michelle A. Pecora CPA P.C.,7/27/2016 - 8/2/2016,8/25/2016
"MedAltus, LLC",5/3/2016,8/24/2016
Symphonix Life & Disability,5/28/2016,8/19/2016
Eddie Bauer LLC,1/2/2016 - 7/17/2016,8/18/2016
"Newkirk Products, Inc.",5/21/2016,8/17/2016
"Valley Anesthesiology Consultants, Inc., d/b/a Valley Anesthesiology and Pain Consultants",3/30/2016,8/12/2016
Banner Health,6/17/2016 - 7/7/2016,8/3/2016
"NLU Products, LLC","4/20/2015, 6/23/2016",7/27/2016
Comnet Marketing Group,4/22/2016 - 4/24/2016,7/22/2016
Omni Hotels and Resorts,12/23/2015 - 6/14/2016,7/21/2016
"CiCi Enterprises, LP","6/30/2015, 7/19/2016",7/20/2016
"Group W. Partners, LLC","12/2/2015, 6/14/2016",7/7/2016
"Joshua, Inc.","12/2/2015, 6/14/2016",7/7/2016
"PNV Restaurants, Inc.","1/13/2016, 6/8/2016",7/7/2016
Noodles & Company,,6/29/2016
Hard Rock Hotel & Casino Las Vegas,10/27/2015,6/27/2016
"Stamford Podiatry Group, PC",2/12/2016 - 4/14/2016,6/20/2016
Acer Service Corporation,5/12/2015,6/14/2016
Certifikid,1/25/2016 - 3/19/2016,5/27/2016
The Kroger Co,1/31/2016,5/27/2016
Flurish Inc. dba LendUp,6/21/2012,5/16/2016
"Hi-Tec Sports USA, Inc.",1/24/2016,5/11/2016
"Puppet, Inc.",3/1/2016,5/9/2016
EqualizeRCM Systems,2/26/2016,5/6/2016
ProSchools,2/4/2016 - 3/16/2016,5/2/2016
DOTERRA INTERNATIONAL LLC,3/1/2016,5/2/2016
Michels Corporation,4/16/2016,4/27/2016
"Advanced International Marketing, Inc.",4/4/2016,4/26/2016
Advance Auto Parts,3/7/2016,4/14/2016
"Schwaab, Inc.","1/22/2014, 8/21/2015, 11/30/2015, 2/4/2016",4/11/2016
"Wynden Stark, dba GQR Global Markets/City Internships ",4/1/2016,4/8/2016
JB AUTOSPORTS INC,8/1/2015 - 11/9/2015,3/2/2016
Baileys,9/25/2015 - 1/13/2016,3/2/2016
Bay Area Chiropractic Center LLC,6/1/2015 - 8/31/2015,2/23/2016
"Gyft, Inc.",10/3/2015 - 12/18/2015,2/5/2016
"Landry’s, Inc., Golden Nugget Atlantic City, LLC, Golden Nugget Lake Charles, LLC, GNL Corp., GNLV C","5/4/2014 - 3/15/2015, 5/5/2015 - 12/3/2015",1/29/2016
"HSBC Bank USA, National Association",12/7/2015 - 12/8/2015,1/14/2016
Accuform Manufacturing Inc,6/30/2015,11/3/2015
T-Mobile / Experian,9/15/2015,10/30/2015
