Organization Name,Letter URL,Reported Date,Date of Breach,End Date
Zillow,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Zillow.2017-05-22.pdf,5/19/2017,5/9/2017,
"Nicopure Labs, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Nicopure Labs LLC 2017-05-16.PDF,5/16/2017,Unspecified,Unspecified
Kuru Footwear,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/KuruFootwear.2017-05-15.PDF,5/15/2017,12/20/2016,3/3/2017
TALX Corporation,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach TALX Corporation.2017-05-15.pdf,5/15/2017,1/4/2016,3/29/2017
Brooks Brothers,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Internet_Safety/Breach Brooks Brothers 2017-05-12.pdf,5/12/2017,4/4/2016,3/1/2017
Indigo Wild,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Internet_Safety/Breach Indigo Wild 2017-05-12.PDF,5/12/2017,11/16/2016,4/17/2017
Seattle Indian Health Board,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SeattleIndianHealthBoard.2017-05-10.pdf,5/9/2017,8/10/2016,
"Solera Holdings, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Internet_Safety/Breach Solera Holdings Inc 2017-05-05.pdf,5/5/2017,Early 2017,
Metro Parks Tacoma,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Metro Parks.2017-05-04.pdf,5/4/2017,5/3/2017,
Hill Country Memorial Hospital,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Hill Country Memorial Hospital.2017-05-03.pdf,4/25/2017,2/21/2017,2/22/2017
Seattle Housing Authority,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SeattleHousingAuthority.2017-04-25.pdf,4/25/2017,Unspecified,
Pacific Lutheran University,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PacificLutheranUniversity.2017-04-18.pdf,4/18/2017,1/23/2017,2/22/2017
"Combat Brands, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CombatBrandsLLC.2014-04-14.pdf,4/14/2017,7/1/2015,2/23/2017
Six Continents Hotels,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SixContinentsHotels%28IHG%29.2017-04-14.pdf,4/14/2017,9/29/2016,12/29/2016
Lake Kennedy McCulluch CPAs PS,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/LakeKennedyMcCulluchCPAsPS.2017-04-06.pdf,4/9/2017,1/30/2017,
Tempur-Pedic,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Tempur Pedic 2017-04-10.pdf,4/4/2017,2/16/2017,12/16/2017
"Easy Breathe, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/EasyBreatheInc.2017-03-27.pdf,3/27/2017,Unspecified,Unspecified
"Bulletproof 360, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Bulletproof.pdf,3/21/2017,10/26/2016,1/31/2017
People for People,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PeopleForPeople.2017-03-17.pdf,3/17/2017,Unspecified,Unspecified
"Northwest Christian Schools, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NorthwestChristianSchoolsInc.2017-03-16.pdf,3/16/2017,2/11/2017,
Bambeco Inc.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/BambecoInc.2017-03-13.pdf,3/10/2017,2/16/2017,12/16/2016
prAna,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/prAna.2017-03-08.pdf,3/8/2017,12/14/2016,2/6/2017
Atlantic Cigar,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AtlanticCigar.2017-03-13.pdf,3/8/2017,Unspecified,Unspecified
Russell Investments,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RussellInvestments.2017-03-07.pdf,3/7/2017,Unspecified,Unspecified
West Music Company,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/WestMusicCompany.2017-03-06.PDF,3/6/2017,2/16/2017,12/16/2016
"Aptos, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/About_the_Office/AGO_Opinions/Pending_AGO_Opinions/AptosInc.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
BENCHMARK,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Benchmark.2017-02-24.pdf,2/24/2017,10/23/2016,1/1/2017
Roberts Hawaii,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RobertsHawaii.2017-02-24.pdf,2/24/2017,7/30/2015,12/14/2016
"Pasco Rentals, Inc.",https://agportal-s3bucket.s3.amazonaws.com/Breach Pasco Rentals Inc 2017-02-24.pdf,2/24/2017,1/12/2017,
"Affy Tapple, LLC d/b/a Affy Tapple",https://agportal-s3bucket.s3.amazonaws.com/Breach AffyTapple 2017-02-24.PDF,2/24/2017,2/16/2017,12/16/2016
Mrs Prindables,https://agportal-s3bucket.s3.amazonaws.com/Breach MrsPrindables 2017-02-24.PDF,2/24/2017,2/16/2017,12/16/2016
Alpha Industries,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AlphaIndustries.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
"Century, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CenturyLLC.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
"Blue Mercury, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/BlueMercuryInc.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
"Movie Mars, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MovieMarsInc.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
"Nutrex Hawaii, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NutrexHawaiiInc.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
"New England Biolabs, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NewEnglandBioLabsInc.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
"Plow and Hearth, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PlowAndHearthLLC.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
"Vapour Organic Beauty, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/VapourOrganicBeautyLLC.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
Abbott Nutrition,https://agportal-s3bucket.s3.amazonaws.com/Breach Abbott Nutrition 2017-02-23.pdf,2/23/2017,6/13/2016,12/16/2016
"InterMountain Management, LLC",https://agportal-s3bucket.s3.amazonaws.com/Breach InterMountain Management 2017-02-22.pdf,2/22/2017,2/3/2017,
Intex Recreation Corp. ,https://agportal-s3bucket.s3.amazonaws.com/Intex Recreation Corp 2017-02-22.pdf,2/22/2017,4/14/2016,12/14/2016
The Boeing Company,https://agportal-s3bucket.s3.amazonaws.com/Breach The Boeing Company 2017-02-08.pdf,2/8/2017,11/21/2016,
"Conover Capital Management, LLC and Conover Securities Corporation",https://agportal-s3bucket.s3.amazonaws.com/Breach Conover Capital Management Securities Corp 2017-02-03.pdf,2/3/2017,11/16/2016,
Saturna Capital Corporation,https://agportal-s3bucket.s3.amazonaws.com/Breach Saturna Capital Corp 2017-01-27.pdf,1/27/2017,1/18/2017,
"Spiraledge, Inc.",https://agportal-s3bucket.s3.amazonaws.com/Spiraledge Inc 2017-01-12.pdf,1/12/2017,5/2/2016,11/22/2016
Community Health Plan of Washington ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CommunityHealthPlanWA.2016-12-22.pdf,12/21/2016,Unspecified,Unspecified
Western Union Financial Services,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/WesternUnionFinancialServices.2016-12-23.pdf,12/20/2016,7/16/2016,
CHI Franciscan Health - Hospice Tacoma,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CHI-FranciscanHealthcare%28Hospice-Tacoma%29.2016-11-30.pdf,11/30/2016,10/18/2016,
The Madison Square Garden Company,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MadisonSquareGarden.2016-11-22.pdf,11/22/2016,11/9/2015,10/24/2016
Island Hotel Company Limited,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/IslandHotelCompanyLimited.2016-11-29.pdf,11/21/2016,3/8/2016,10/22/2016
Springfield Armory,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SpringfieldArmory.2016-11-18.PDF,11/18/2016,10/3/2015,10/9/2016
Michigan State University,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MichiganStateUniversity.2016-11-23.pdf,11/18/2016,11/13/2016,
Charles Schwab,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CharlesSchwab.2016-11-11.pdf,11/11/2016,3/25/2016,
UFCW Local 655 Food Employers Pension Plan,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/UFCWLocal655FoodEmployersPensionPlan.2016-11-09-16 %282%29.pdf,11/9/2016,7/21/2016,
Eileen Fisher Inc. ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/EileenFisherInc.2016-11-09.pdf,11/9/2016,9/7/2016,10/24/2016
Rebecca Minkoff LLC,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RebeccaMinkoff.2016-11-04.pdf,11/4/2016,Unspecified,Unspecified
Eastwood Company,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/EastwoodCompany.2016-10-19.pdf,10/19/2016,5/29/2016,8/22/2016
Vera Bradley,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/VeraBradley.2016-10-12.pdf,10/12/2016,7/25/2016,9/23/2016
Vaupell,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Vaupell.2016-09-30.pdf,9/30/2016,9/12/2016,
Group Health Cooperative,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/GroupHealthCooperative.2016-09-23.pdf,9/23/2016,8/31/2016,9/2/2016
ACTIVEOutdoors,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ActiveOutdoors.2016-09-19.pdf,9/19/2016,Prior,6-Jul
"Ascensus, Inc",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Ascensus%28MenziesAviation%29.2016-09-19.pdf,9/19/2016,Unspecified,Unspecified
Highline Medical Center,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/HighlineMedicalCenter.2016-08-31.pdf,8/31/2016,4/21/2016,6/13/2016
Kimpton Hotels & Restaurants,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/KimptonHotels.2016-08-31_0.pdf,8/31/2016,2/16/2016,7/7/2016
"Presnell Gage, PLLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PresnellGagePLLC.2016-08-31.pdf,8/30/2016,7/16/2016,8/18/2016
KontrolFreek,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/KontrolFreek.2016-8-22.PDF,8/22/2016,10/21/2015,4/7/2016
Eddie Bauer,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/EddieBauer.2016-08-18.pdf,8/18/2016,7/15/2016,
"Valley Anesthesiology Consultants, Inc",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ValleyAnesthesiology.2016-08-12.pdf,8/12/2016,3/30/2016,
The Caroline Kline Galland Home,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CarolineKlineGalland.2016-08-05.pdf,8/5/2016,6/13/2016,
Banner Health,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/BannerHealth.2016-08-03.pdf,8/3/2016,6/23/2016,7/7/2016
"CiCi Enterprises, LP",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CiCiEnterprisesLP.pdf,7/19/2016,16-Mar,16-Jul
"San Antonio Shoemakers, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SanAntonioShoemakersInc%28SAS%29.pdf,7/19/2016,4/21/2016,6/13/2016
NLU Products LLC,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NLUProductsLLC.pdf,7/16/2016,6/8/2016,
Omni Hotels and Resorts,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/OmniHotelsandResorts.pdf,7/8/2016,12/23/2015,6/14/2016
Wendy's,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Wendys2016_06.pdf,7/6/2016,12/2/2015,6/8/2016
Noodles and Company,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NoodlesAndCompany_2016-06.pdf,6/28/2016,1/31/2016,6/2/2016
Hard Rock Hotel & Casino Las Vegas,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/HardRockHotelAndCasinoLV.pdf,6/27/2016,10/27/2015,3/21/2016
Uber Technologies,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/UberTechnologiesInc.pdf,6/16/2016,5/13/2016,
The Tax Shack,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TheTaxShack.pdf,6/13/2016,5/27/2016,6/1/2016
MEI-GSR,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MEI-GSR_GrandSierraResort2016-06.pdf,6/10/2016,2/19/2014; 03/20/2015,03/13/2014; 8/6/2016
Mate1.com,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Mate1_2016-06.pdf,6/8/2016,15-Oct,
"Empathia, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/EmpathiaInc_2016-06.pdf,6/6/2016,1/30/2016,
Olympia School District ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/OlympiaSchoolDistrict2016-05-11.pdf,5/11/2016,4/12/2016,
Ameris Bank,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AmerisBank2016-05-10.pdf,5/10/2016,2/2/2016,3/10/2016
LendUP Processing Center,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/LendUpProcessingCenter2016-05.pdf,5/10/2016,2016,
CertifiKid LLC,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CertifiKid2016-05-10.pdf,5/5/2016,1/25/2016,3/19/2016
Kline Galland Home Care Services,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/KlineGallandHomeCareServices2016-05.pdf,5/2/2016,4/5/2016,
AIM Inc,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AIM2016-04-27.pdf,4/27/2016,4/4/2016,
doTERRA International ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/doTERRAInternational%2CLLC2016-04-18.pdf,4/18/2016,16-Mar,
SchwaabInc (DiscountRubberStamps.com),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SchwaabInc%28DiscountRubberStamps.com%292016-04-11.pdf,4/11/2016,1/22/2014,1/26/2016
Advance Auto Parts,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AdvanceAutoParts2016-03-17.pdf,3/15/2016,3/7/2016,
Bailey's Online,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Bailey%27sUPDATE2016-03-14.pdf,3/14/2016,12/1/2011,1/26/2016
Turner Construction Company,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TurnerConstructionCo2016-03-11.pdf,3/7/2016,3/2/2016,
21st Century Oncology,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/21stCenturyOncology2016-03-04.pdf,3/4/2016,10/3/2015,
Washington State Health Care Authority ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/HealthCareAuthority2016_02_09.pdf,2/9/2016,11/15/2013,12/24/2015
"Gyft, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Gyft%2CInc.2016-02-05.pdf,2/4/2016,10/3/2015,12/18/2015
Bailey's,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Bailey%27s2016-02-01.pdf,1/1/2016,9/25/2015,1/3/2016
Landry's Inc.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Landry%27sInc%2C et.al.2016_01_29.pdf,1/29/2016,Varies by Location ,
Starwood Hotels & Resorts,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/StarwoodHotelsResortsWorldwideIncUPDATE2016_01_22.pdf,1/22/2016,Varies by Location,
MaineGeneral Medical Center,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MaineGeneralMedicalCenter2016-01-21.pdf,1/15/2016,09/11/2015; 09/12/2015,
Hyatt Hotels Corporation,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/HyattHotelsCorporation2016_01_14.pdf,1/14/2016,11/24/2015,
HSBC Bank,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/HSBC2016-13-01.pdf,1/13/2016,12/07/2015; 12/08/2015,
Regional Income Tax Agency,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RegionalIncomeTaxAgencyRITA2016_01_11.pdf,12/31/2015,11/10/2015,
Maston Navigation & Horizon Lines,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MatsonNavigationCoIncAndHorizonLines2015_12_23.pdf,12/23/2015,12/7/2015,
Yapstone,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Yapstone%2CInc2015_12_18.pdf,12/18/2015,8/4/2015,
PeaceHealth (AMENDED),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/PeaceHealthAMENDED_2015-12-14.pdf,12/14/2015,6/15/2015,10/9/2014
Muji,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Muji2015_12_08.pdf,11/30/2015,1/22/2015,7/20/2015
PeaceHealth,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PeaceHealth2015_11_30.pdf,11/30/2015,6/15/2015,10/9/2015
Hilton Worldwide,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/HiltonWorldwideInc2015_11_30.pdf,11/24/2015,12/28/2014,12/5/2014
Starwood Hotels & Resorts,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/StarwoodHotelsResortsWorldwideInc2015_11_20.pdf,11/20/2015,Varies by location ,
Noble House Hotels & Resorts,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NobleHouseAndResorts_2015-11-17.pdf,11/13/2015,12/29/2014,8/11/2015
Excellus Blue Cross,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ExcellusBlueCross%28BCBSMA%292015_11_03.pdf,10/28/2015,8/5/2015,
Digital Theatre,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/DigitalTheatreLLC2015_10_28.pdf,10/28/2015,4/19/2014,9/30/2014
Service Systems Associates,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ServiceSystemAssociatesInc2015-10-13.pdf,10/13/2015,3/24/2015,5/20/2015
Peggy Olson,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PattyOlsonAccounting2015_10_19.pdf,10/9/2015,9/2/2015,
T-Mobile (Experian),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/T-Mobile%28Experian%292015-10-01.pdf,10/1/2015,9/15/2015,
Charles Schwab,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CharlesSchwab2015-10-02.pdf,10/1/2015,8/25/2015,
Scottrade,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Scottrade2015-10-01.pdf,9/30/2015,15-Jul,
Rite Aid Corporation,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RiteAideCorporation2015-09-29.pdf,9/29/2015,8/20/2014,7/14/2015
Sterbick Associates,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Sterbick_Associates2015-09-29.pdf,9/26/2015,8/23/2015,
Costco Photo Center,https://agportal-s3bucket.s3.amazonaws.com/uploadedImages/Another/Supporting_Law_Enforcement/CostcoPhotoCenter2015_09_22 %281%29.pdf,9/22/2015,7/17/2015,
Molina Health Care,https://agportal-s3bucket.s3.amazonaws.com/uploadedImages/Another/Supporting_Law_Enforcement/MolinaHealthcare%28CVS%292015_09_21.pdf,9/18/2015,7/20/2015,
The Lifetime Healthcare Companies,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/LifetimeHealthCare%28and affiliates%292015_09_10.pdf,9/9/2015,8/5/2015,
Olympia Hotel Management,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/OlympiaHotelManagement2015_08_31.pdf,8/21/2015,8/12/2015,
"Web.com Group, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Web.comGroupInc2015_08_20.pdf,8/18/2015,8/13/2015,
SterlingBackcheck,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SterlingBankCheck2015_08_17.pdf,8/11/2015,5/29/2015,
